timestamp,Rain_(mm),Reservoir_(m)
16/11/2019 23:59,0.4,10.28
17/11/2019 23:59,0.2,10.35
18/11/2019 23:59,15.2,14.16
19/11/2019 23:59,0.2,10.35
20/11/2019 23:59,1.4,10.66
21/11/2019 23:59,9.6,11.19
22/11/2019 23:59,53.4,21.55
23/11/2019 23:59,0.4,10.35
24/11/2019 23:59,0.2,10.35
25/11/2019 23:59,15.0,14.09
26/11/2019 23:59,15.6,14.24
27/11/2019 23:59,0.2,10.43
28/11/2019 23:59,0.4,10.28
29/11/2019 23:59,4.8,10.96
30/11/2019 23:59,0.2,9.51
1/12/2019 23:59,0.0,10.35
2/12/2019 23:59,0.0,10.35
3/12/2019 23:59,9.6,11.19
4/12/2019 23:59,13.0,11.88
5/12/2019 23:59,0.2,10.35
6/12/2019 23:59,0.2,10.35
7/12/2019 23:59,0.2,10.35
8/12/2019 23:59,0.2,10.35
9/12/2019 23:59,0.2,13.86
10/12/2019 23:59,3.0,11.19
11/12/2019 23:59,3.6,11.27
12/12/2019 23:59,5.8,11.50
13/12/2019 23:59,0.4,10.43
14/12/2019 23:59,17.8,14.70
15/12/2019 23:59,0.2,10.35
16/12/2019 23:59,0.2,10.43
17/12/2019 23:59,0.2,10.28
18/12/2019 23:59,0.0,10.28
19/12/2019 23:59,0.2,10.28
20/12/2019 23:59,0.4,10.35
21/12/2019 23:59,0.6,10.35
22/12/2019 23:59,8.6,11.65
23/12/2019 23:59,0.8,10.28
24/12/2019 23:59,0.0,10.35
25/12/2019 23:59,0.0,10.35
26/12/2019 23:59,0.0,10.35
27/12/2019 23:59,0.0,10.28
28/12/2019 23:59,0.0,10.35
29/12/2019 23:59,0.0,10.35
30/12/2019 23:59,0.0,10.28
31/12/2019 23:59,0.0,10.35
1/1/2020 23:59,0.0,10.30
2/1/2020 23:59,0.0,10.30
3/1/2020 23:59,0.0,11.19
4/1/2020 23:59,0.0,11.88
5/1/2020 23:59,0.4,10.35
6/1/2020 23:59,0.0,10.35
7/1/2020 23:59,0.0,10.35
8/1/2020 23:59,0.0,10.35
9/1/2020 23:59,0.0,13.86
10/1/2020 23:59,0.0,11.19
11/1/2020 23:59,0.0,11.27
12/1/2020 23:59,0.8,11.50
13/1/2020 23:59,0.0,10.43
14/1/2020 23:59,0.2,14.70
15/1/2020 23:59,0.2,10.35
16/1/2020 23:59,0.2,10.43
17/1/2020 23:59,0.0,10.28
18/1/2020 23:59,0.0,10.28
19/1/2020 23:59,0.0,10.28
20/1/2020 23:59,0.0,10.35
21/1/2020 23:59,0.0,10.35
22/1/2020 23:59,0.0,11.65
23/1/2020 23:59,0.0,10.28
24/1/2020 23:59,0.0,10.35
25/1/2020 23:59,0.0,10.35
26/1/2020 23:59,0.2,10.35
27/1/2020 23:59,1.4,10.28
28/1/2020 23:59,0.2,10.35
29/1/2020 23:59,8.6,10.35
30/1/2020 23:59,0.4,10.28
31/1/2020 23:59,0.0,10.35
1/2/2020 23:59,0.0,10.35
2/2/2020 23:59,0.0,10.35
3/2/2020 23:59,0.0,10.35
4/2/2020 23:59,0.0,10.28
5/2/2020 23:59,0.0,10.35
6/2/2020 23:59,3.8,11.11
7/2/2020 23:59,0.0,10.28
8/2/2020 23:59,0.0,10.35
9/2/2020 23:59,0.0,10.28
10/2/2020 23:59,0.0,10.28
11/2/2020 23:59,0.0,10.28
12/2/2020 23:59,3.0,10.73
13/2/2020 23:59,0.0,10.35
14/2/2020 23:59,0.0,10.35
15/2/2020 23:59,0.0,10.35
16/2/2020 23:59,0.0,10.28
17/2/2020 23:59,0.0,10.35
18/2/2020 23:59,0.0,10.35
19/2/2020 23:59,0.0,10.35
20/2/2020 23:59,0.0,10.35
21/2/2020 23:59,0.0,10.28
22/2/2020 23:59,0.0,10.28
23/2/2020 23:59,6.4,11.72
24/2/2020 23:59,0.0,10.35
25/2/2020 23:59,0.0,10.35
26/2/2020 23:59,0.0,10.28
27/2/2020 23:59,0.0,10.28
28/2/2020 23:59,0.0,10.35
29/2/2020 23:59,0.0,10.35
1/3/2020 23:59,0.0,10.35
2/3/2020 23:59,0.0,10.28
3/3/2020 23:59,12.6,12.79
4/3/2020 23:59,0.4,10.35
5/3/2020 23:59,0.0,10.35
6/3/2020 23:59,0.0,10.35
7/3/2020 23:59,13.4,14.47
8/3/2020 23:59,27.6,15.91
9/3/2020 23:59,4.0,11.95
10/3/2020 23:59,0.0,10.35
11/3/2020 23:59,0.0,10.35
12/3/2020 23:59,0.0,10.28
13/3/2020 23:59,0.0,10.28
14/3/2020 23:59,20.6,16.45
15/3/2020 23:59,0.0,10.35
16/3/2020 23:59,0.0,10.28
17/3/2020 23:59,0.0,10.28
18/3/2020 23:59,0.0,10.28
19/3/2020 23:59,0.0,10.35
20/3/2020 23:59,0.0,10.35
21/3/2020 23:59,0.0,10.35
22/3/2020 23:59,10.2,14.47
23/3/2020 23:59,4.2,11.95
24/3/2020 23:59,0.0,10.35
25/3/2020 23:59,6.0,12.41
26/3/2020 23:59,6.2,12.41
27/3/2020 23:59,4.4,12.03
28/3/2020 23:59,1.2,10.96
29/3/2020 23:59,0.2,10.35
30/3/2020 23:59,0.0,10.35
31/3/2020 23:59,0.0,10.35
1/4/2020 23:59,0.0,10.66
2/4/2020 23:59,0.0,9.97
3/4/2020 23:59,0.2,10.89
4/4/2020 23:59,0.0,10.66
5/4/2020 23:59,0.0,10.28
6/4/2020 23:59,5.8,12.10
7/4/2020 23:59,23.8,16.45
8/4/2020 23:59,12.8,11.42
9/4/2020 23:59,0.4,10.89
10/4/2020 23:59,1.6,10.96
11/4/2020 23:59,10.0,13.78
12/4/2020 23:59,12.8,15.38
13/4/2020 23:59,2.6,12.10
14/4/2020 23:59,0.2,10.35
15/4/2020 23:59,2.2,11.19
16/4/2020 23:59,0.2,10.43
17/4/2020 23:59,2.8,12.26
18/4/2020 23:59,0.4,10.35
19/4/2020 23:59,0.0,10.20
20/4/2020 23:59,0.0,10.12
21/4/2020 23:59,0.0,10.12
22/4/2020 23:59,1.2,11.42
23/4/2020 23:59,0.0,10.28
24/4/2020 23:59,0.0,10.35
25/4/2020 23:59,0.0,10.12
26/4/2020 23:59,5.4,12.94
27/4/2020 23:59,0.2,10.66
28/4/2020 23:59,0.0,10.73
29/4/2020 23:59,0.0,10.35
30/4/2020 23:59,0.0,10.35
1/5/2020 23:59,0.0,10.66
2/5/2020 23:59,3.2,10.35
3/5/2020 23:59,0.0,10.73
4/5/2020 23:59,0.0,10.43
5/5/2020 23:59,0.0,10.35
6/5/2020 23:59,0.0,10.35
7/5/2020 23:59,0.0,10.28
