DATE,EUR
27/7/1990,268.1
3/8/1990,273.4
10/8/1990,280.7
17/8/1990,288.9
24/8/1990,290.9
31/8/1990,278.0
7/9/1990,274.5
14/9/1990,275.2
21/9/1990,280.0
28/9/1990,291.9
5/10/1990,279.0
12/10/1990,269.1
19/10/1990,255.4
26/10/1990,258.6
2/11/1990,259.3
9/11/1990,262.6
16/11/1990,254.2
23/11/1990,261.1
30/11/1990,264.8
7/12/1990,252.2
14/12/1990,254.9
21/12/1990,269.7
28/12/1990,266.2
4/1/1991,270.8
11/1/1991,277.6
18/1/1991,263.6
25/1/1991,258.6
1/2/1991,248.1
8/2/1991,250.2
15/2/1991,250.1
22/2/1991,249.9
1/3/1991,260.9
8/3/1991,266.4
15/3/1991,270.7
22/3/1991,275.5
29/3/1991,279.8
5/4/1991,276.5
12/4/1991,280.5
19/4/1991,284.0
26/4/1991,284.7
3/5/1991,285.7
10/5/1991,283.4
17/5/1991,283.7
24/5/1991,280.7
31/5/1991,288.9
7/6/1991,299.2
14/6/1991,304.1
21/6/1991,304.6
28/6/1991,308.5
5/7/1991,312.2
12/7/1991,304.5
19/7/1991,299.1
26/7/1991,292.9
2/8/1991,287.5
9/8/1991,286.6
16/8/1991,291.7
23/8/1991,286.5
30/8/1991,280.8
6/9/1991,278.6
13/9/1991,268.7
20/9/1991,272.6
27/9/1991,271.0
4/10/1991,277.1
11/10/1991,280.8
18/10/1991,281.5
25/10/1991,285.4
1/11/1991,275.7
8/11/1991,269.2
15/11/1991,271.3
22/11/1991,272.7
29/11/1991,277.9
6/12/1991,270.3
13/12/1991,265.3
20/12/1991,257.3
27/12/1991,250.6
3/1/1992,254.5
10/1/1992,264.1
17/1/1992,266.6
24/1/1992,261.2
31/1/1992,264.7
7/2/1992,258.8
14/2/1992,267.9
21/2/1992,269.6
28/2/1992,269.0
6/3/1992,271.0
13/3/1992,269.2
20/3/1992,264.3
27/3/1992,260.7
3/4/1992,258.2
10/4/1992,260.0
17/4/1992,260.6
24/4/1992,258.1
1/5/1992,257.1
8/5/1992,257.2
15/5/1992,253.5
22/5/1992,253.4
29/5/1992,251.3
5/6/1992,250.2
12/6/1992,248.9
19/6/1992,250.7
26/6/1992,245.5
3/7/1992,244.0
